solution_id,configuration_id,scenario_id,aidres_sector_id,horizon,electricity_[mwh/t],electricity_[gj/t],alternative_fuel_mixture_[gj/t],biomass_[gj/t],biomass_waste_[gj/t],coal_[gj/t],coke_[gj/t],crude_oil_[gj/t],hydrogen_[gj/t],methanol_[gj/t],ammonia_[gj/t],naphtha_[gj/t],natural_gas_[gj/t],plastic_mix_[gj/t],alternative_fuel_mixture_[t/t],biomass_[t/t],biomass_waste_[t/t],coal_[t/t],coke_[t/t],crude_oil_[t/t],hydrogen_[t/t],methanol_[t/t],ammonia_[t/t],naphtha_[t/t],natural_gas_[t/t],plastic_mix_[t/t],totex_[eur/t],opex_var_[eur/t],co2_allowance_[eur/t],opex_cst_[eur/t],opex_[eur/t],capex_[eur/t],direct_emission_[tco2/t],total_emission_[tco2/t],direct_emission_reduction_[%],total_emission_reduction_[%],captured_co2_[tco2/t],route_name,product_id,capex_cc_eur_tCO2,opex_cc_eur_tCO2,totex_cc_eur_tCO2,totex_cc_eur_t
41,41,No_Bio,2,2050,0.08265,0.29753,0,0,0,1.81319,0,0,0,0,0,0,0,0,0,0,0,0.06146,0,0,0,0,0,0,0,0,100.9908002,13.468,59.85,24.6728002,97.9908002,3.0,0.399,0.439177831,0,0,0,LC3-(Coal),cement,0.0,0.0,0.0,0.0
42,42,No_Bio,2,2050,0.15355,0.55279,0,0,0,3.24523,0,0,0,0,0,0,0,0,0,0,0,0.11001,0,0,0,0,0,0,0,0,92.8360502,24.49975,15.6,24.6728002,86.8360502,6.0,0.104,0.1765894235,0,0,0.417,LC3-(Coal)MEA,cement,2.3980815347721824,26.45503597122303,28.85311750599521,12.031750000000002
43,43,No_Bio,2,2050,0.12103,0.43569,0,0,0,1.81319,0,0,0,0,0,0,0,0,0,0,0,0.06146,0,0,0,0,0,0,0,0,116.8832702,16.154600000000002,9.75,29.9836902,71.8832702,45.0,0.065,0.109783431,0,0,0.334,LC3-(Coal)CaL,cement,41.91616766467066,23.94458083832335,65.86074850299401,21.997490000000003
44,44,No_Bio,2,2050,0.16898,0.60834,0,0,0,2.49947,0,0,0,0,0,0,0,0,0,0,0,0.08473,0,0,0,0,0,0,0,0,92.25253688,22.41985,12.149999999999999,27.70819576,86.25253688,6.0,0.081,0.1429944155,0,0,0.483,LC3-(Coal)Oxy-MEA,cement,2.070393374741201,24.81831378881987,26.888707163561072,12.987245559999998
45,45,No_Bio,2,2050,0.14492,0.52169,0,0,0,1.82465,0,0,0,0,0,0,0,0,0,0,0,0.06185,0,0,0,0,0,0,0,0,103.46725988,17.87565,9.45,28.89063676,73.46725988,30.0,0.063,0.11084224749999999,0,0,0.414,LC3-(Coal)Oxy-CaL,cement,21.73913043478261,20.834508599033814,42.57363903381642,17.625486559999995
46,46,No_Bio,2,2050,0.08265,0.29753,0,0,0,0,0,0,0,0,0,0,1.83858,0,0,0,0,0,0,0,0,0,0,0,0.03755,0,95.70220486666666,15.979404666666667,52.04999999999999,24.6728002,92.70220486666666,3.0,0.347,0.37009449,0,0,0,LC3-(NG),cement,0.0,0.0,0.0,0.0
47,47,No_Bio,2,2050,0.13866,0.49917,0,0,0,0,0,0,0,0,0,0,2.98562,0,0,0,0,0,0,0,0,0,0,0,0.06098,0,89.79340353333333,26.259804222222222,12.3,24.6728002,83.79340353333333,6.0,0.082,0.12003614333333333,0,0,0.329,LC3-(NG)MEA,cement,3.03951367781155,31.247415062478897,34.28692874029045,11.280399555555558
48,48,No_Bio,2,2050,0.11606,0.41782,0,0,0,0,0,0,0,0,0,0,1.83858,0,0,0,0,0,0,0,0,0,0,0,0.03755,0,109.10935486666668,18.318104666666667,8.55,29.3031502,70.10935486666668,39.0,0.057,0.08410369000000001,0,0,0.291,LC3-(NG)CaL,cement,41.23711340206186,23.948625429553264,65.18573883161513,18.96905
49,49,No_Bio,2,2050,0.18584,0.66903,0,0,0,0,0,0,0,0,0,0,2.53951,0,0,0,0,0,0,0,0,0,0,0,0.05187,0,104.72646828,27.08897211111111,12.750000000000002,28.67132056,98.72646828,6.0,0.085,0.12550062166666667,0,0,0.521,LC3-(NG)Oxy-MEA,cement,1.9193857965451055,28.998249144807,30.917634941352105,16.108087804444448
50,50,No_Bio,2,2050,0.15722,0.566,0,0,0,0,0,0,0,0,0,0,1.85387,0,0,0,0,0,0,0,0,0,0,0,0.03787,0,111.22901457333332,21.28407922222222,9.9,29.59372888,81.22901457333333,30.0,0.066,0.09815246833333333,0,0,0.442,LC3-(NG)Oxy-CaL,cement,20.361990950226243,23.1348489492207,43.49683989944694,19.225603235555546
