solution_id,configuration_id,scenario_id,aidres_sector_id,horizon,electricity_[mwh/t],electricity_[gj/t],alternative_fuel_mixture_[gj/t],biomass_[gj/t],biomass_waste_[gj/t],coal_[gj/t],coke_[gj/t],crude_oil_[gj/t],hydrogen_[gj/t],methanol_[gj/t],ammonia_[gj/t],naphtha_[gj/t],natural_gas_[gj/t],plastic_mix_[gj/t],alternative_fuel_mixture_[t/t],biomass_[t/t],biomass_waste_[t/t],coal_[t/t],coke_[t/t],crude_oil_[t/t],hydrogen_[t/t],methanol_[t/t],ammonia_[t/t],naphtha_[t/t],natural_gas_[t/t],plastic_mix_[t/t],totex_[eur/t],opex_var_[eur/t],co2_allowance_[eur/t],opex_cst_[eur/t],opex_[eur/t],capex_[eur/t],direct_emission_[tco2/t],total_emission_[tco2/t],direct_emission_reduction_[%],total_emission_reduction_[%],captured_co2_[tco2/t],route_name,product_id,capex_cc_eur_tCO2,opex_cc_eur_tCO2,totex_cc_eur_tCO2,totex_cc_eur_t,Additional_cc_capex
32,32,Exit_no_CDR,2,2050,0.168,0.6048,3.8598,0,0,0,0,0,0,0,0,0,0,0,0.10931,0,0,0,0,0,0,0,0,0,0,0,75.32440266216,12.678204000000001,19.349999999999998,23.3073877,55.3355917,19.988810962160002,0.129,0.149990756,0,0,0.516,CEM2-(Afm)MEA,cement,3.875968992248062,12.541992248062014,16.417961240310078,8.471668000000001,29.04808326
33,33,Exit_no_CDR,2,2050,0.13178,0.4744,2.46427,0,0,0,0,0,0,0,0,0,0,0,0.06979,0,0,0,0,0,0,0,0,0,0,0,88.43942500048,9.810836,13.199999999999998,30.4150477,53.4258837,35.01354130048,0.088,0.10434400399999999,0,0,0.448,CEM2-(Afm)CaL,cement,42.410714285714285,23.91062499999999,66.32133928571427,29.711959999999994,29.04808326
34,34,Exit_no_CDR,2,2050,0.16048,0.57773,3.04633,0,0,0,0,0,0,0,0,0,0,0,0.08627,0,0,0,0,0,0,0,0,0,0,0,69.07946884110001,11.958268,13.799999999999999,25.23288046,50.991148460000005,18.088320381099997,0.092,0.11191325199999999,0,0,0.485,CEM2-(Afm)Oxy-MEA,cement,2.061855670103093,15.829329402061855,17.891185072164948,8.67722476,29.04808326
35,35,Exit_no_CDR,2,2050,0.14043,0.50554,2.46427,0,0,0,0,0,0,0,0,0,0,0,0.06979,0,0,0,0,0,0,0,0,0,0,0,77.60904874982,10.416336000000001,11.25,27.6677387,49.3340747,28.27497404982,0.075,0.09238200399999999,0,0,0.457,CEM2-(Afm)Oxy-CaL,cement,26.258205689277897,18.753065645514223,45.01127133479212,20.570151,29.04808326
36,36,Exit_no_CDR,2,2050,0.08029,0.28905,0,0,2.77171,0,0,0,0,0,0,0,0,0,0,0,0.21486,0,0,0,0,0,0,0,0,0,104.71368770000001,27.1063,51.300000000000004,23.3073877,101.71368770000001,3.0,0.342,0.3516348,0,0,0,CEM2-(BMW),cement,0.0,0.0,0.0,0.0,0.0
37,37,Exit_no_CDR,2,2050,0.19083,0.687,0,0,4.47081,0,0,0,0,0,0,0,0,0,0,0,0.34657,0,0,0,0,0,0,0,0,0,95.203741819,48.0151,0.0,23.3073877,71.3224877,23.881254119,-0.308,-0.2851004,0,0,0.65,CEM2-(BMW)MEA,cement,3.0769230769230766,32.167384615384606,35.244307692307686,22.908799999999996,29.04808326
38,38,Exit_no_CDR,2,2050,0.14125,0.50849,0,0,2.77171,0,0,0,0,0,0,0,0,0,0,0,0.21486,0,0,0,0,0,0,0,0,0,103.5324818278,31.3735,0.0,31.7634977,63.136997699999995,40.3954841278,-0.188,-0.17105,0,0,0.53,CEM2-(BMW)CaL,cement,41.50943396226415,24.006245283018856,65.515679245283,34.72330999999999,29.04808326
39,39,Exit_no_CDR,2,2050,0.18001,0.64805,0,0,3.16165,0,0,0,0,0,0,0,0,0,0,0,0.24509,0,0,0,0,0,0,0,0,0,90.96641540156,37.109700000000004,3.0,26.34876862,66.45846862,24.507946781559998,0.02,0.041601200000000005,0,0,0.706,CEM2-(BMW)Oxy-MEA,cement,1.41643059490085,18.477026798866863,19.89345739376771,14.044780920000003,29.04808326
40,40,Exit_no_CDR,2,2050,0.15984,0.57541,0,0,2.77171,0,0,0,0,0,0,0,0,0,0,0,0.21486,0,0,0,0,0,0,0,0,0,98.8681928679,32.674800000000005,2.1,28.7764175,63.55121750000001,35.3169753679,0.014,0.0331808,0,0,0.665,CEM2-(BMW)Oxy-CaL,cement,19.548872180451127,16.597789172932337,36.146661353383465,24.037529800000005,29.04808326
41,41,Exit_no_CDR,2,2050,0.08265,0.29753,0,0,0,1.81319,0,0,0,0,0,0,0,0,0,0,0,0.06146,0,0,0,0,0,0,0,0,100.9908002,13.468,59.85,24.6728002,97.9908002,3.0,0.399,0.439177831,0,0,0,LC3-(Coal),cement,0.0,0.0,0.0,0.0,0.0
