Emitter_id,Node_id,AidRES_site_id,NUTS0,NUTS3,Lat,Lon,Sector_id,Sector_name,Product_route_id,Product_route_name,Product_cap_ktpa,Config_id_1,Config_id_2,Config_id_noCC,Route_name_1,Route_name_2,Route_name_noCC,Base_emissions_tot_tCO2ptpa,Base_emissions_direct_tCO2ptpa,Captured_CO2_1_tCO2ptpa,Captured_CO2_2_tCO2ptpa,Capture_ofwhich_bio_1_tCO2ptpa,Capture_ofwhich_bio_2_tCO2ptpa,Totex_1_EURptpa,Totex_2_EURptpa,Totex_noCC_EURptpa,Capex_1_EURptpa,Capex_2_EURptpa,Capex_noCC_EURptpa,Opex_noTandS_1_EURptpa,Opex_noTandS_2_EURptpa,Opex_noTandS_noCC_EURptpa,CO2_allowance_cost_1_EURpt,direct_emission_1_tco2_t,direct_emission_2_tco2_t,direct_emission_noCC_tco2_t,total_emission_1_tco2_t,total_emission_2_tco2_t,total_emission_noCC_tco2_t,Cluster_julia
E2372,C1238,1238,NL,NL33A,51.8153302999999,4.7270973,6,Chemical,19,chemical-olefins,43.56271,83,82,82,(LN)O-MEA,(LN)O,(LN)O,1.348312693,0.967,1.002,0.0,0.0,0.0,730.4031431035622,746.908569,746.908569,106.49401988134,55.0,55.0,623.9091232222222,691.908569,691.908569,16.65,0.111,0.967,0.967,0.5322865194666667,1.3156651228,1.3156651228,C426
E2510,C1238,1238,NL,NL33A,51.8153302999999,4.7270973,6,Chemical,20,chemical-PEA,43.406178,74,77,77,(NG)PEA-MEA,(EL)PEA,(EL)PEA,0.600555118,0.459,0.443,0.0,0.0,0.0,1250.9949502544825,1272.57565,1272.57565,120.499307810038,111.0,111.0,1130.4956424444445,1161.57565,1161.57565,7.35,0.049,0.0,0.0,0.16401245333333336,0.284634,0.284634,C426
E2637,C1238,1238,NL,NL33A,51.8153302999999,4.7270973,6,Chemical,21,chemical-PE,47.165769,65,68,68,(NG)PE-MEA,(EL)PE,(EL)PE,0.050040025,0.016,0.015,0.0,0.0,0.0,1000.7329960451451,1001.8245000000001,1001.8245000000001,37.033860045145,37.0,37.0,963.6991360000001,964.8245000000001,964.8245000000001,0.3,0.002,0.0,0.0,0.02090579,0.024953999999999997,0.024953999999999997,C426
E2373,C1239,1239,NL,NL342,51.4928505999999,3.6462368,6,Chemical,19,chemical-olefins,43.56271,83,82,82,(LN)O-MEA,(LN)O,(LN)O,1.348312693,0.967,1.002,0.0,0.0,0.0,730.4031431035622,746.908569,746.908569,106.49401988134,55.0,55.0,623.9091232222222,691.908569,691.908569,16.65,0.111,0.967,0.967,0.5322865194666667,1.3156651228,1.3156651228,C22
E2511,C1239,1239,NL,NL342,51.4928505999999,3.6462368,6,Chemical,20,chemical-PEA,43.406178,74,77,77,(NG)PEA-MEA,(EL)PEA,(EL)PEA,0.600555118,0.459,0.443,0.0,0.0,0.0,1250.9949502544825,1272.57565,1272.57565,120.499307810038,111.0,111.0,1130.4956424444445,1161.57565,1161.57565,7.35,0.049,0.0,0.0,0.16401245333333336,0.284634,0.284634,C22
E2638,C1239,1239,NL,NL342,51.4928505999999,3.6462368,6,Chemical,21,chemical-PE,47.165769,65,68,68,(NG)PE-MEA,(EL)PE,(EL)PE,0.050040025,0.016,0.015,0.0,0.0,0.0,1000.7329960451451,1001.8245000000001,1001.8245000000001,37.033860045145,37.0,37.0,963.6991360000001,964.8245000000001,964.8245000000001,0.3,0.002,0.0,0.0,0.02090579,0.024953999999999997,0.024953999999999997,C22
E2221,C1240,1240,NL,NL341,51.2721690999999,3.8497956,5,Fertilisers,18,fertiliser-ammonia,1311.0,105,107,107,(NG)NH3-MVR-DEA,(BM)NH3,(BM)NH3,2.07811468,1.742,1.42,0.0,0.0,0.0,482.6432713651555,490.9891,490.9891,120.3508298096,170.0,170.0,362.2924415555555,320.9891,320.9891,30.3,0.202,0.0,0.0,0.46096393166666666,0.1487316,0.1487316,C22
E2222,C1240,1240,NL,NL341,51.2721690999999,3.8497956,5,Fertilisers,18,fertiliser-nitric-acid,965.9999999999999,117,118,117,(BM)HNO3,(BM)HNO3-DEA,(BM)HNO3,0.455609314,0.409,0.0,0.736,0.0,0.736,97.43214512,105.90694141568,97.43214512,30.0,38.47479629568,30.0,67.43214512,67.43214512,67.43214512,0.0,0.0,-0.736,0.0,0.0,-0.736,0.0,C22
E4044,C1240,1240,NL,NL341,51.2721690999999,3.8497956,5,Fertilisers,18,fertiliser-urea,896.9999999999999,130,131,130,(BM)Urea,(BM)Urea-DEA,(BM)Urea,0.345423371,0.186,0.0,1.451,0.0,1.451,195.9229408,212.63072534488,195.9229408,11.0,27.707784544880003,11.0,184.9229408,184.9229408,184.9229408,0.0,0.0,-1.451,0.0,0.0578748,-1.3931252,0.0578748,C22
E2009,C1241,1241,NL,NL33A,51.8881628,5.0858943,3,Glass,11,glass-container,355.7894211,140,146,145,(NG)-CC,(EL)-CC,(EL),0.44358809,0.338,0.097,0.021,0.0,0.0,251.80920304444447,260.61025659999996,267.09275660000003,68.483,53.919,50.0,183.32620304444447,206.6912566,217.09275660000003,1.6499999999999997,0.011,0.002,0.073,0.08259808833333333,0.1719824,0.2425564,C427
E2010,C1242,1242,NL,NL423,50.8597965,5.7037763,3,Glass,11,glass-container,313.9927674,140,146,145,(NG)-CC,(EL)-CC,(EL),0.44358809,0.338,0.097,0.021,0.0,0.0,251.80920304444447,260.61025659999996,267.09275660000003,68.483,53.919,50.0,183.32620304444447,206.6912566,217.09275660000003,1.6499999999999997,0.011,0.002,0.073,0.08259808833333333,0.1719824,0.2425564,C25
E2073,C1243,1243,NL,NL411,51.6771049,4.5949383,3,Glass,11,glass-container,199.9125087,140,146,145,(NG)-CC,(EL)-CC,(EL),0.44358809,0.338,0.097,0.021,0.0,0.0,251.80920304444447,260.61025659999996,267.09275660000003,68.483,53.919,50.0,183.32620304444447,206.6912566,217.09275660000003,1.6499999999999997,0.011,0.002,0.073,0.08259808833333333,0.1719824,0.2425564,C426
E2198,C1244,1244,NL,NL113,53.1761302999999,6.6814621,3,Glass,13,glass-fibre,99.59057971,158,152,157,(EL)-CC,(NG)-CC,(EL),0.827356012,0.634,0.066,0.183,0.0,0.0,328.847314,329.405778,350.893514,81.174,109.437,71.0,247.673314,219.968778,279.893514,1.05,0.007,0.02,0.227,0.2712316,0.14762786,0.48989479999999996,C428
E2045,C1245,1245,NL,NL412,51.6107966,4.9950676,3,Glass,11,glass-container,308.9666033,140,146,145,(NG)-CC,(EL)-CC,(EL),0.44358809,0.338,0.097,0.021,0.0,0.0,251.80920304444447,260.61025659999996,267.09275660000003,68.483,53.919,50.0,183.32620304444447,206.6912566,217.09275660000003,1.6499999999999997,0.011,0.002,0.073,0.08259808833333333,0.1719824,0.2425564,C429
